Security,MCD US Equity ,,SBUX US Equity,,YUM US Equity,,CMG US Equity,,QSR US Equity,,YUMC US Equity,,DRI  US Equity,,DPZ  US Equity,,DNKN  US Equity,,WEN US Equity,,CAKE US Equity,
Start Date,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,2011/10/1,,40817,
End Date,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,2020/6/19,,44001,
Period,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
Currency,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,
,,,,,,,,,,,,,,,,,,,,,,
Date,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME
2015/2/12,95.09,7910116,45.9125,7197558,53.7853,2300203,670.29,288687,39.32,1150969,,,54.9881,1077290,100.56,320005,47.39,875463,11.105,3566791,49.26,5494357
2015/2/11,94.21,5153937,45.395,6466910,53.2028,2262756,669.64,528842,39.02,638991,,,54.4508,605746,100.45,220204,47.31,1026452,10.9,3166489,53.04,1556436
2015/2/10,94.02,4697610,45.59,12469500,53.2675,2340061,665.03,734482,39.25,1337512,,,54.6658,778975,100.93,305596,47.74,1013681,10.93,4722032,54.13,711114
2015/2/9,92.72,8203013,44.41,6911614,52.5701,2797639,648.01,646487,38.39,681806,,,53.8778,877543,98.63,249977,47.09,1102194,10.825,4319926,52.92,513688
2015/2/6,93.99,4662736,44.5,7835332,53.1597,4699452,659.92,870189,38.88,1001587,,,54.3076,566008,99.86,283997,47.46,2108084,11.03,3537067,53.7,744720
2015/2/5,94.34,5564108,44.82,7598672,54.0729,9363141,670.91,830280,38.41,1479284,,,54.6031,677427,99.74,230650,46.03,2785559,11.02,7039264,52.91,556389
2015/2/4,94.05,6464783,44.35,11496698,52.9583,3768947,676,2474736,38.1,754305,,,54.3165,1479200,99.72,300944,46.6,1409985,10.91,10852540,52.98,607315
2015/2/3,93.92,7373047,44.245,9252426,52.9296,3323107,726.63,1364246,38.68,1509626,,,54.4061,974022,99.37,286759,46.38,1467184,11.305,14922875,52.41,480315
2015/2/2,92.51,6751432,43.995,13638832,52.2968,3103734,712.55,468728,38.45,987937,,,53.7435,1617262,98.08,423172,46.26,1322183,10.41,5243393,52.06,897516
2015/1/30,92.44,12385371,43.765,10070456,51.9732,3127848,709.84,385843,38.68,1469092,,,54.9612,3061854,99.05,468751,47.31,1501741,10.54,6594269,52.51,730987
2015/1/29,93.27,19146887,44.525,12475860,53.4042,2995565,714.53,273697,39.16,930341,,,55.7134,1365540,101.29,530962,46.96,1161557,10.59,5452615,53.17,1177533
2015/1/28,88.78,6921322,43.7825,11963202,52.4191,4790379,711.99,244746,38.33,592066,,,54.3703,975799,99.89,478758,45.91,1008417,10.47,3053723,53.4,693190
2015/1/27,89.57,6640833,44.17,10995808,52.8001,3554321,721.33,275869,39.24,489922,,,54.9881,1069473,98.93,346464,46.05,1961918,10.56,4964497,54.44,419275
2015/1/26,90.67,7753275,44.06,14098574,53.3826,2258595,723.43,227992,38.85,1141292,,,55.6686,1410958,98.74,372731,47,1522393,10.53,5103807,54.73,553357
2015/1/23,89.56,11495980,44.11,38107194,53.2891,3260866,713.69,324804,39.31,675550,,,54.818,868355,98.1,399598,46.98,2071091,10.53,4339937,54.13,523579
2015/1/22,90.89,7536416,41.37,23913056,53.059,3577143,713.44,301898,39.2,1388641,,,54.5673,1629435,99.01,325418,46.17,1573602,10.46,2972021,54.1,553356
2015/1/21,90.34,8682226,40.645,10844182,51.4124,2804426,703.89,307494,38.91,798015,,,53.4032,1116580,97.38,391158,45.27,797262,10.23,3992996,53.29,577501
2015/1/20,90.8,6967278,40.6125,10738304,51.1607,3711063,705.78,340926,38.28,1083437,,,53.054,1242911,97.51,477077,45.01,1506472,10.23,6108412,53,1105546
2015/1/16,91.49,6926995,40.305,9015502,52.0811,2929310,711.11,316094,38.95,1753551,,,52.9197,2448084,98.49,704424,45.51,1182317,10.04,3085623,52.16,438929
2015/1/15,91.38,5737468,39.79,8126602,51.3764,3877640,700.78,344922,39.35,1080791,,,52.6331,1791288,96.83,1481796,45.82,2347272,9.93,2783242,51.84,490561
2015/1/14,91.54,7745521,40.21,9295084,51.9948,3610525,709.74,318743,40.39,1063997,,,53.0808,1481198,98.91,767570,45.08,2037724,10.04,3840062,52.29,464343
2015/1/13,92.83,5971237,40.435,11040702,52.2105,3319221,714.06,348180,40.26,1834416,,,53.054,1861885,101.7,634504,45.88,4522034,9.97,5037798,52.7,551278
2015/1/12,93.01,3989585,40.115,10021486,52.4262,2821283,711.7,276813,39.69,2490387,,,53.5823,1449960,102.12,427073,44.08,2085413,9.93,3997473,52.19,386479
2015/1/9,93.21,4283293,39.895,27556706,52.8217,2650776,714.27,404354,39.96,826943,,,53.6271,1543932,100.5,679417,43.67,1550963,9.93,7336543,52.35,499577
2015/1/8,94.36,5476740,41.245,13170548,52.9152,3061324,719.99,1171584,40.35,1730094,,,54.7463,1797336,100.78,706508,43.89,2643538,9.68,8146579,52.42,951827
2015/1/7,94.01,6400320,40.59,9732554,52.0092,3273992,694.26,685553,39.33,2298434,,,53.8957,2694378,97.5,624700,43.54,2709635,9.46,6225737,51.7,1151343
2015/1/6,92.4,6484094,39.615,7664340,50.341,3597727,664.38,609404,37.87,1532513,,,52.1048,1513538,94.29,728029,42.32,1398066,8.96,2911784,49.82,591411
2015/1/5,92.23,6211872,39.94,11623796,50.9666,3176619,667.69,374414,37.8,1169702,,,51.9257,935313,95.47,570766,42.47,1997635,8.97,3508719,50.2,504218
2015/1/2,93.26,6019693,40.72,6906098,52.0236,1641557,678.4,325015,38.32,749758,,,52.3108,1039359,94.29,401049,42.73,749245,9.06,3150666,50.11,508325
2014/12/31,93.7,4589312,41.025,7628772,52.3831,1539425,684.51,302896,39.04,382123,,,52.4988,758180,94.17,293615,42.65,1029842,9.03,2951150,50.31,417089
2014/12/30,94.25,3257735,40.895,5253454,52.6923,1464524,684.91,268884,38.87,845464,,,52.6421,604812,94.92,347863,43.38,1488139,9.15,3451784,50.55,300772
2014/12/29,95.04,4183224,41.19,4796662,52.8936,1892613,692.69,505075,38.88,975416,,,52.6958,618123,95.44,327071,42.9,1154157,9.07,1585405,50.91,710354
2014/12/26,94.78,3884255,40.915,4550364,52.5916,1041493,678.06,212009,39.02,453609,,,52.2929,431734,95.45,162634,42.37,905059,8.92,1341455,49.54,580171
2014/12/24,93.83,1736839,40.635,2602398,52.34,799095,672.79,136870,39.29,518884,,,52.3108,319717,95.39,125564,41.85,544056,8.995,1986620,49.46,97361
2014/12/23,94.22,3596392,40.715,8147722,52.2609,1605742,669.21,226141,39.26,1400025,,,52.3914,608986,95.62,317800,41.98,1481005,8.85,2915318,49.445,253802
2014/12/22,93.89,5342248,40.27,7583856,52.1027,2472579,667.66,381927,39.68,4526257,,,52.4988,1200363,95.9,339935,41.99,2360478,8.75,2624047,49.32,261425
2014/12/19,93.22,10284328,39.72,17444212,51.1751,5784930,651.42,395253,41.9,8381790,,,51.3706,2688916,95.69,759164,41.67,4740547,8.64,7317796,48.62,782428
2014/12/18,93.67,11277129,40.015,17582942,51.5849,4513792,655.6,320162,38.17,11518677,,,51.684,1928600,94.45,432460,43.05,14093145,8.81,3634713,49.23,404967
2014/12/17,91.65,14009957,40.2175,10161624,50.7652,5411318,649.15,338557,36.17,2500241,,,51.1109,5111382,93.43,433806,46.22,724202,8.63,3686768,49.055,868912
2014/12/16,88.72,15106676,39.565,13981874,49.6291,7051356,633.52,415585,35.46,4877932,,,50.0633,2255046,92.92,418003,45.14,851886,8.51,4617396,48.46,820944
2014/12/15,88.46,10121636,40.445,16286986,50.7868,5074164,648.83,434802,35.29,1898614,,,51.2184,2562303,94,322174,46.42,814666,8.62,4247007,48.61,691752
2014/12/12,90.62,8696756,41.625,9164230,52.3831,5649531,657.67,288522,35.41,3836354,,,51.3795,1821670,95.07,257798,46.755,1170361,8.71,4652350,48.53,552568
2014/12/11,90.97,8972720,41.56,10058296,51.7863,7960980,654.39,269706,36.71,601905,,,51.7825,1636631,94.12,380906,46.29,1396940,8.68,3461473,48.2,522309
2014/12/10,90,12020817,41.33,10096320,50.7149,10302596,650.04,307694,34.47,8293,,,51.487,1264983,93.32,239810,46.09,778690,8.66,3008155,47.45,555007
2014/12/9,91.36,10066782,41.515,8725620,54.0873,4467324,657.09,412506,,,,,51.8452,1279204,94.92,191090,46.99,972333,8.795,3323310,48.54,761328
2014/12/8,92.61,11792656,41.9,11770652,54.9789,3400882,657.03,290045,,,,,52.4451,1285261,95.4,270821,47.04,975468,8.82,4812303,48.54,663339
2014/12/5,96.31,6209305,41.785,14788168,56.3019,1836426,660.57,169873,,,,,52.4003,743696,94.89,361181,47.94,740485,8.78,3387315,48.35,463922
2014/12/4,95.66,5365429,40.655,14070910,55.8921,2228168,663.97,377953,,,,,51.8004,1045598,95.93,308472,47.62,805189,8.68,2985541,48.18,719721
2014/12/3,95.5,5324034,40.235,11201396,55.8274,3014968,651.27,391241,,,,,52.0332,1819495,95.7,232451,47.94,672149,8.7,3020111,47.67,567403
2014/12/2,95.11,10389676,40.185,7656398,56.3451,3634241,660.04,286897,,,,,51.5139,1157100,95.09,582114,47.84,1260819,8.78,6124475,47.82,582336
2014/12/1,95.78,5273749,40.425,8627478,55.6404,3123478,660.88,272124,,,,,51.5049,1991413,94.2,382573,48.45,1017734,8.72,3831863,47.62,622702
2014/11/28,96.81,3442853,40.605,6766674,55.5469,1505440,663.62,172797,,,,,51.0303,682838,93.85,228630,48.35,545120,8.72,1328543,48.43,464950
2014/11/26,96.22,3667981,39.85,6196752,55.1874,2487289,660.21,162308,,,,,50.0185,916255,93.23,194175,47.41,462319,8.6,1724305,47.475,254457
2014/11/25,97,5368952,40.105,8118386,54.8566,3223564,654.9,460406,,,,,49.2395,3017677,93.16,312834,47.54,909512,8.655,2987987,47.68,533351
2014/11/24,97.17,5222895,40.26,9426200,54.9286,2753912,659.54,454937,,,,,50.4662,1491325,93.37,254574,48,1300010,8.69,2421530,47.49,545199
2014/11/21,96.68,5483712,39.88,14027718,54.5475,3654458,657.88,348956,,,,,50.0095,1070683,92.7,337909,47.39,856430,8.55,2721523,47.27,500530
2014/11/20,96.64,4551916,39.1,6287096,54.2958,4499097,662.83,211741,,,,,49.9558,1197011,92.47,361321,47.29,651582,8.57,1950184,47.055,839225
2014/11/19,96.56,6631311,38.91,5231186,53.1884,1612491,658.56,234187,,,,,49.7946,1212383,91.41,271543,47.03,917001,8.48,3077948,46.62,683081
2014/11/18,96.41,6268097,38.785,5755816,53.3466,2586790,658.09,245390,,,,,49.7588,1570724,91.52,305263,47.03,1082331,8.58,2979321,46.38,798819
2014/11/17,95.97,3596519,38.915,5899020,53.2028,2213307,658.32,367208,,,,,49.6335,1279528,91.02,295065,47.58,760781,8.51,3842632,46.8,486587
2014/11/14,96.21,7793438,39.06,6039282,53.7709,2429159,669.8,277817,,,,,50.0543,1393910,91.46,241949,47.9,1029313,8.52,4628581,47.4,619770
2014/11/13,95.48,4099804,38.945,6842248,54.2095,3895446,670.75,348895,,,,,50.4125,1812704,91.87,256268,48.52,1144506,8.48,2552379,47.9,874658
2014/11/12,95.33,2725702,38.925,5312194,53.6127,2854271,664.25,419095,,,,,50.4662,2394154,91.65,432388,48.09,903010,8.545,2498957,48.48,631727
2014/11/11,95.14,3429027,38.865,5201438,52.8649,1533427,656.65,356077,,,,,49.8931,3773717,91.57,265091,47.34,640399,8.5,3999508,48.45,483963
2014/11/10,95.11,5123874,38.825,6555370,52.6851,2700545,648.86,275570,,,,,48.6306,1917193,92.08,264877,47.29,1167416,8.55,7173138,48.82,692847
2014/11/7,95.1,4674632,38.895,8248994,52.3903,2421575,649.03,300837,,,,,47.9053,1495984,90.8,299529,47.04,677057,8.3,4958818,48.86,669718
2014/11/6,94.66,3597279,38.725,6167276,52.5629,2679866,647.12,232835,,,,,47.5471,1268558,90.85,490821,47.05,765677,8.25,13726843,48.735,686157
2014/11/5,94.64,4123841,38.33,7403396,52.0883,1977633,642.59,328227,,,,,47.18,1302945,90.5,486304,46.14,937761,8.06,6744058,48.15,977294
2014/11/4,94.47,5802179,38.355,10420764,51.815,2335348,647.68,407986,,,,,47.2158,1258161,90.25,464517,46.33,758048,8.145,5048626,47.79,1006180
2014/11/3,93.61,4069904,38.05,10606936,51.4555,3074768,638.53,306381,,,,,46.5442,1209569,89.55,395752,45.54,1135930,8.05,2944618,46.03,577764
2014/10/31,93.73,6800889,37.78,35889908,51.6497,6024007,638,441466,,,,,46.3652,1395676,88.79,533605,45.48,1381050,8.02,4436515,45.94,754340
2014/10/30,93.38,3965528,38.66,13388970,50.3194,2097434,639.68,263826,,,,,45.8279,1343989,88.88,275671,45.93,626128,8.01,3786774,46.14,674010
2014/10/29,92.73,5300445,38.27,8794902,50.0534,2429217,639.86,441953,,,,,45.613,4628261,88.98,342707,45.75,864487,8.01,12963292,45.53,584875
2014/10/28,92.6,5083262,38.525,8150988,50.4848,1772971,645.85,604264,,,,,46.589,2432603,89,393605,46.38,1150995,8.07,6114654,45.85,847922
2014/10/27,92.01,4078298,37.985,5796276,50.0749,1419401,630.11,566156,,,,,46.0428,2353865,88.26,319978,45.5,1327755,8.01,9642923,44.58,679812
2014/10/24,91.67,5263046,37.905,7359034,50.2475,1859633,615.78,493599,,,,,45.7115,1781529,87.68,488951,45.11,1832988,8.41,3313298,44.04,875224
2014/10/23,91.02,5966894,37.42,6837730,49.7945,1538336,610,619199,,,,,45.0399,2011719,87.3,765930,44,4997727,8.37,4033950,43.2,2997598
2014/10/22,90.94,6455551,37.3,6469670,49.7082,1979636,608.99,1002410,,,,,44.3415,1176558,86.45,553450,46.79,1345992,8.42,5332240,44.5,2848210
2014/10/21,91.01,11422211,37.18,12312930,50.19,2310778,607.55,2254591,,,,,44.2519,1241176,85.99,858449,46.55,949946,8.375,5561453,44.65,2126906
2014/10/20,91.59,5408134,37.35,7957028,49.7082,1577550,653.03,1216053,,,,,43.9744,1313232,86,400063,46.76,1096065,8.37,2590252,46.65,1040161
2014/10/17,91.04,7074463,36.77,9581060,49.1617,2901659,641.72,687504,,,,,43.5893,1709063,84.84,562027,45.24,952148,8.31,3880651,46.23,727761
2014/10/16,89.91,7526459,36.32,9738832,48.6224,3172413,645.98,498724,,,,,43.3028,2129387,83.93,1071097,44.73,1740862,8.28,7909395,46.77,747640
2014/10/15,90.44,10469312,36.19,13622008,48.342,4666446,647.38,614533,,,,,43.1953,2627930,83.65,1553706,45.02,931641,8.085,12771614,46.72,1128455
2014/10/14,91.1,5539480,36.37,10995022,48.7663,3533003,651.17,534514,,,,,43.0968,2099962,84.3,2278220,45.11,917503,7.875,5104513,46.53,1021262
2014/10/13,90.73,6182343,36.095,12431414,48.6224,3814775,639.53,481770,,,,,42.1567,3233004,75.72,782830,44.51,848256,7.61,6092674,44.98,752620
2014/10/10,92.3,5846707,37.23,10495940,49.8376,5004249,655.58,625961,,,,,43.3118,2849834,76.41,496135,45.02,1234210,7.76,6237302,45.25,1049535
2014/10/9,92.72,5069103,37.24,9343828,49.6147,3964469,660.61,392534,,,,,44.1176,1939811,76.7,403692,45.08,1564571,7.8,3473618,45.08,636778
2014/10/8,93.83,5593781,37.63,6716308,50.8659,7914548,672.1,362072,,,,,44.7623,2129004,77.92,607252,44.73,861168,8.02,4322456,45.72,688568
2014/10/7,92.81,6095819,37.025,6383432,50.1396,6029483,662.82,348316,,,,,44.834,2022609,76.81,459969,43.78,1359264,7.96,4136725,44.49,734589
2014/10/6,93.84,4278576,37.5725,5221748,51.3261,3033094,671.13,379445,,,,,45.7115,1831848,77.85,349919,44.96,947299,8.13,2483991,45.38,378710
2014/10/3,94.86,3948919,37.945,8229168,51.5059,3776010,674.5,403932,,,,,46.195,1681834,77.7,553672,44.485,860158,8.18,3288748,45.805,483406
2014/10/2,94.12,4123290,37.225,8573520,51.4268,2275209,662.57,306430,,,,,46.0965,1842660,77.58,553479,43.7,1370760,8.1,6740102,45.325,593583
2014/10/1,94.19,5339524,37.305,8119064,51.4196,3046842,662.23,387217,,,,,45.6219,2148030,77.1,1339626,44.46,845439,8.11,4265361,44.975,591321
2014/9/30,94.81,10036422,37.73,7800904,51.7575,3136603,666.59,460538,,,,,46.0786,1713656,76.96,599898,44.82,869499,8.26,4758735,45.5,536118
2014/9/29,96.22,16489076,37.635,6376526,52.2465,2079796,662.94,240823,,,,,46.5621,1684858,77.63,359318,45.14,1027031,8.26,2996864,45.96,594744
2014/9/26,94.7,3462523,37.585,7659794,52.0164,1417085,660.77,253533,,,,,46.4726,1596962,77.27,338008,44.57,1167528,8.24,4207411,45.65,562625
2014/9/25,94.16,4578539,37.06,8010814,51.4411,2304730,653.39,276920,,,,,45.9174,1229941,76.3,302634,44.12,997270,8.085,4619360,45.3,373840
2014/9/24,95,7817920,37.66,8599714,52.0811,1737367,664.71,267080,,,,,46.3204,2560115,76.36,172070,44.48,1357203,8.175,4763100,45.66,485629
2014/9/23,93.51,4708175,36.9775,7739386,51.5921,1486996,654.58,164537,,,,,45.0847,1991986,75.83,270034,43.71,946790,8.175,4162865,45.26,417506
2014/9/22,93.93,4875669,37.3,7859646,52.0236,1477185,656.1,285528,,,,,45.1921,1371971,75.86,258675,44.24,1102301,8.28,7329145,45.42,313781
2014/9/19,94.36,9043095,38.035,12040726,52.4766,3100951,664.09,395221,,,,,45.8369,2597576,77,510477,45.23,1272494,8.43,13591855,45.87,628441
2014/9/18,93.48,5494150,37.865,8028914,52.2321,1321847,664.32,339901,,,,,45.0847,1646025,76.74,378749,45.64,3815920,8.36,8605688,46.16,591799
2014/9/17,93.53,5747402,37.67,7475730,52.0739,2370093,653.24,530247,,,,,44.5833,1703459,76.57,304707,46.78,3058169,8.18,6226940,45.65,445705
2014/9/16,93.75,5827958,37.545,8041214,51.7647,1936637,654.2,486779,,,,,44.3594,1749923,76.58,420266,47.36,1791774,8.08,5849130,45.39,478012
2014/9/15,93.47,6254980,37.46,10845708,51.5849,1781857,655.85,519014,,,,,44.7176,4000806,76.21,203868,47.5,1189063,7.98,7482934,45.23,212588
2014/9/12,93.34,8033091,37.735,14619348,51.4699,2532664,664.81,303031,,,,,42.6044,3594202,76.03,271470,47.21,1059686,7.88,2888876,45.38,356516
2014/9/11,92.96,5964095,38.06,9365624,52.1961,2256950,672.73,317447,,,,,43.2401,1899246,76.24,198309,46.91,950609,7.935,5322124,45.66,497615
2014/9/10,93,12031430,38.605,5918672,52.1961,2071121,671.36,366597,,,,,42.7745,1034305,76.22,262119,46.52,944894,8.02,6750597,45.63,494021
2014/9/9,91.09,9795162,38.56,5114572,51.8222,2613331,669.95,282760,,,,,42.7834,1071708,75.54,268926,46.82,1509145,8.11,9702146,45.03,257668
2014/9/8,92.5,5260721,38.835,4492776,52.0164,1748544,678.37,205630,,,,,43.0073,2421262,76.06,334473,46.36,1476022,8.02,2811332,45.25,376841
2014/9/5,93.07,4011037,38.975,8026608,52.0308,3111602,677.95,239958,,,,,43.0431,1120289,76.43,198105,46.01,1327612,7.96,4888621,45.32,442825
2014/9/4,93.01,4849754,38.58,5749790,51.5418,7705862,680.54,270597,,,,,42.8282,1596454,75.38,162832,45.25,1212721,7.89,2919352,45.16,361285
2014/9/3,93.14,4865259,38.395,6796736,51.398,2620887,680.1,306922,,,,,42.6223,857322,75.61,325510,44.46,1275884,7.93,4821339,44.72,547560
2014/9/2,92.8,6736236,38.74,6197468,51.3549,4309882,682.9,232893,,,,,42.7566,2276643,76,311405,43.96,1108735,8.075,2973708,44.79,825164
2014/8/29,93.72,4640333,38.905,4657356,52.0811,2155541,678.65,180806,,,,,42.3716,1324210,75.45,276019,43.54,655078,8.15,1277877,44.95,361499
2014/8/28,94.14,5497461,38.905,3958032,51.9948,2191942,677.84,152987,,,,,42.2193,952625,75.26,184584,43.57,521037,8.135,1816462,45.07,671943
2014/8/27,94.65,9027320,38.96,4904018,52.002,1983610,677.03,259862,,,,,42.488,1105582,75.16,230831,43.59,784300,8.11,3986576,44.83,297434
2014/8/26,94.11,6394543,38.895,5513856,52.4981,3448546,683.89,289930,,,,,42.6312,1203580,75.25,221879,43.8,772609,8.24,2910252,45.15,457238
2014/8/25,94.44,4614287,38.985,5698322,52.3256,2227424,676.24,213822,,,,,42.5775,858892,75.03,177205,44.01,1339801,8.31,2777948,45.21,497848
2014/8/22,94.45,3594144,38.64,4552328,52.0667,2619515,676.95,360422,,,,,42.5954,1469066,74.03,253202,43.75,933176,8.255,3182132,44.475,416886
2014/8/21,94.53,5981567,38.735,4811992,51.9732,3829953,681.07,716139,,,,,42.488,1041582,74.75,337669,44.24,1414620,8.17,1943300,44.6,964005
2014/8/20,94.19,4157886,39.015,4668758,52.455,4554266,678.41,305854,,,,,42.4701,1684905,74.66,261408,44.64,1430222,8.15,3958017,44.47,974631
2014/8/19,94.45,3338257,39.06,4919030,52.1242,4563947,681.08,231698,,,,,42.5596,741499,75.15,157740,44.05,1135157,8.22,2066853,45.04,467564
2014/8/18,94.25,4398807,38.795,6845416,51.8726,3355214,684.83,201138,,,,,42.2731,1280847,75.04,225127,43.65,632422,8.18,2569105,44.675,367764
2014/8/15,93.79,4284507,38.455,8090044,51.398,3703322,678.18,331797,,,,,41.5209,1309840,74.55,214165,43.43,897135,8.085,4847790,44.16,732938
2014/8/14,93.66,5644922,38.31,10892582,51.0888,3264008,679.29,304018,,,,,42.1656,883762,74.75,192562,43.54,811530,8.16,2820345,44.3,515035
2014/8/13,93.96,3599864,38.62,6935144,50.6789,1946285,683.68,387477,,,,,41.897,1355502,74.49,333078,43.94,1027827,8.175,3378179,44.18,478454
2014/8/12,93.56,3235939,38.91,4723844,50.3554,1963945,676.23,225912,,,,,41.5119,1673363,73.7,541842,43.73,594893,8.155,4778162,43.67,447293
2014/8/11,93.53,4291741,38.935,4522400,50.3626,2438485,680.54,355465,,,,,41.9507,1749245,72.75,271380,43.87,720028,8.25,6138194,43.8,388726
2014/8/8,93.55,6506196,38.81,5957988,50.3122,2332367,669.7,354191,,,,,42.2731,1635398,72.06,405400,43.61,870927,8.14,8048984,43.45,534519
2014/8/7,93.31,3264614,38.355,5427964,50.1325,3459227,671.84,289834,,,,,41.897,3785090,71.34,315934,43.47,749921,8.16,14434373,43.41,581621
2014/8/6,93.47,3727958,38.565,5935218,50.3338,3057406,673,374786,,,,,42.0134,1739640,71.33,453776,43.5,644174,7.98,7903429,43.25,457965
2014/8/5,93.43,5494852,38.395,6696400,50.039,6142459,674.71,334478,,,,,42.3447,1854160,71.3,576230,43.46,832209,8.03,5609840,42.9,592458
2014/8/4,94.31,7652678,38.765,6282674,50.4632,4675663,682.98,446046,,,,,42.8551,2857213,71.3,811292,43.41,652708,8.12,3627397,43.13,824772
2014/8/1,94.3,4576448,38.49,7798186,50.6646,7086629,675.14,341686,,,,,41.7806,1645046,70.17,985105,43.11,1515697,8.09,5169404,42.89,787999
2014/7/31,94.56,6829388,38.84,8147584,49.9024,17779409,672.5,462615,,,,,41.8612,3091359,72,395727,42.86,1512445,8.15,5158468,42.88,681571
2014/7/30,95.95,6059213,39.45,8911708,52.491,5273704,681.83,404344,,,,,41.4672,1916329,73.55,301858,43.29,1526172,8.28,4120906,43.48,587811
2014/7/29,95.82,6712670,39.325,7937248,53.0734,3717352,674.36,282508,,,,,41.9776,4167772,73.87,393296,43.95,2564144,8.25,2343333,43.54,915032
2014/7/28,95.78,4863067,39.18,8012924,53.3251,3388987,678.01,470692,,,,,40.2225,1315498,74.04,332524,42.77,1890080,8.25,3395376,43.3,737772
2014/7/25,95.72,4992812,39.37,18984366,53.2388,3187561,673.58,595978,,,,,39.9897,997098,74.23,439206,42.13,2363367,8.27,3250656,43.33,947894
2014/7/24,95.35,7781720,40.225,16129286,53.095,5930515,660.2,374176,,,,,40.5538,1959192,74.61,449096,42.015,7400081,8.275,3067874,43.41,2360558
2014/7/23,95.35,9484381,39.57,6450280,53.7205,5770823,661.27,554826,,,,,39.8375,1731867,75.43,588331,43.96,1381624,8.23,2970888,43.96,1450914
2014/7/22,96.27,12398494,39.37,6457244,53.814,4467572,659.77,2261545,,,,,39.5957,1361360,76.11,1234343,43.74,1689999,8.3,6332343,44.32,767592
2014/7/21,97.55,6510632,38.805,5021858,53.3035,8476339,589.93,1099630,,,,,39.4166,1814541,73.39,529195,43.56,1845952,8.26,9774832,43.94,567906
2014/7/18,98.99,4050442,38.97,6744520,55.6692,5021259,592.42,432611,,,,,39.739,1604849,73.23,385603,44.14,2794154,8.28,6234047,44.44,737074
2014/7/17,98.37,4104240,38.62,8446350,55.3744,12870193,581.65,415600,,,,,39.1838,1641682,72.6,423972,43.89,1974830,8.105,5880593,44.06,984518
